# Blacklisted wallets (low winrate) | 387 wallets | export: 2026-07-23T14:38:37
# address | chain | blacklisted_at | reason
3yaGWxjR43RtYYUz29KRRDs7KVZxL7RrcDUjRTUY9qKz | sol | 1784806641 | low_winrate
56zoeCrehFaXAtJWLGRvdAkED6emPaAVf1Di4AQiJZpk | sol | 1784806599 | low_winrate
HFZewLn5q2BU3grQvRb6ZNWiiNCrEQNUorsFtkv1auw1 | sol | 1784806518 | low_winrate
Gtw5QKLnYazyApkzmCXo9GvXa5sCjwvx2bdRLaid8FHu | sol | 1784806518 | low_winrate
Eabd7gRh3FAJk41uxFTiFxmnLyZbwzwxycYi5tXRbXcP | sol | 1784806518 | low_winrate
hnu5iBK8UoHb51UFsH1RYTUAYdrhjHvV5YMTf9T1CYN | sol | 1784806518 | low_winrate
kfQ8k5UxTH4njm6HQreDkxfXStzVmXRxUUWJ2Gsjm3h | sol | 1784806518 | low_winrate
HJTFnNkaqEhTq4aJLB8EpbmCCwqjZDa1scnDCWLNrsPs | sol | 1784806518 | low_winrate
D8iUxRYz2F5VufcaRfv6orWcXjvp5hitbrv1bU7afiBd | sol | 1784806498 | low_winrate
TuouBnypgwNHajm8uUYLSfaVp1UfCfhphJeZGjjate4 | sol | 1784806478 | low_winrate
BA36AnwpTfKeqNhExVUFFbzUAQTyKYvJrEokKJqVCTPi | sol | 1784806398 | low_winrate
7EmUSAXbyXoGpqLPpurkQ97S4ovMdkbjyYPrKtJHtkqa | sol | 1784806334 | low_winrate
CgaA9a1JwAXJyfHuvZ7VW8YfTVRkdiT5mjBBSKcg7Rz5 | sol | 1784806314 | low_winrate
DrzbWc4ri8bjMWVRkSU8gSWZQdQxk3pboJG7kCsSAiJX | sol | 1784806189 | low_winrate
5hYsHp8HWFgySy1ZCn7rThQiZ1Cy5qd6mArW3inmMAfG | sol | 1784806149 | low_winrate
CsDL8yHruRnxRGdnwwTrsrsX7DWsuEPFBk2VP6BXK6AY | sol | 1784806106 | low_winrate
EjtQrPTbcMevStBkpnjsH23NfUCMhGHusTYsHuGVQZp2 | sol | 1784806106 | low_winrate
DoupxZs5ma3NRyf96oUk4GM2qsZLMpXxrvUuuDG8vVVf | sol | 1784806106 | low_winrate
3BLjRcxWGtR7WRshJ3hL25U3RjWr5Ud98wMcczQqk4Ei | sol | 1784806106 | low_winrate
DuS4ArWWypJRrqndKLec3cqW4YYzJsrodNSdYB2aJufY | sol | 1784806106 | low_winrate
CNLvyHiHk9mySDw1LppyNQ59beK1QR43qwtqXWb1M8Uy | sol | 1784806106 | low_winrate
